,GAME_ID,i_id,i_lineup,i_margin,i_time,index,j_id,j_lineup,j_margin,j_time,level_0,season,was_home_correct,starting,date,prediction_by_matchup_u,prediction_by_matchup_w,k
36,0020800049,1610612745,"(201171, 101236, 699, 1747, 1503)",0,46,1479,1610612738,"(2754, 200796, 2570, 1718, 200765)",0,46,1481,2008,True,0,2008-11-04,-71.7038018933,13.4656480459,0.0
37,0020800040,1610612752,"(2216, 2768, 101194, 2037, 2047)",2,71,1240,1610612749,"(201601, 2210, 201196, 101106, 2294)",-2,71,1242,2008,True,0,2008-11-02,4.04022121272,0.400505518603,0.0
38,0020800040,1610612752,"(2216, 2047, 2037, 101126, 101135)",0,61,1224,1610612749,"(2210, 201196, 101106, 2294, 101111)",0,61,1226,2008,True,0,2008-11-02,-6.08142913375,-10.4109682574,0.0
39,0020800020,1610612761,"(200081, 1515, 101181, 979, 2547)",1,544,592,1610612744,"(1536, 201634, 2740, 1733, 1894)",-1,544,593,2008,True,1,2008-10-31,-3.89477424532,4.63694359586,0.0
40,0020800042,1610612766,"(2202, 2731, 2810, 2222, 101109)",-2,78,1273,1610612765,"(1888, 101161, 2419, 2198, 101198)",2,78,1275,2008,False,0,2008-11-03,-2.30426901567,-4.79821878198,0.0
41,0020800060,1610612762,"(1905, 200794, 101179, 2430, 200758)",4,163,1829,1610612757,"(101112, 2038, 201164, 200750, 2566)",-4,163,1832,2008,True,0,2008-11-05,6.0659348243,28.1766769782,0.0
42,0020800028,1610612754,"(101127, 2211, 201579, 2605, 201575)",-2,109,870,1610612738,"(2754, 2067, 200796, 1718, 201175)",2,109,872,2008,True,0,2008-11-01,-4.01457559748,-2.68297143246,0.0
43,0020800049,1610612745,"(2449, 699, 101236, 201166, 1503)",2,12,1487,1610612738,"(2754, 2067, 708, 2570, 951)",-2,12,1489,2008,True,0,2008-11-04,2.35679656687,-51.2628625273,0.0
44,0020800028,1610612754,"(101127, 2211, 2605, 1902, 201575)",1,105,884,1610612738,"(200796, 2754, 2067, 708, 1718)",-1,105,886,2008,True,0,2008-11-01,-0.559617405466,0.140891159858,0.0
45,0020800058,1610612740,"(2484, 1899, 200756, 2229, 2446)",-3,137,1779,1610612737,"(2585, 201151, 2436, 2230, 201143)",3,137,1782,2008,True,0,2008-11-05,-1.64406557791,-1.53025959765,0.0
46,0020800006,1610612764,"(1712, 2041, 1498, 2052, 2406)",1,59,170,1610612751,"(1713, 2250, 201146, 2734, 200767)",-1,59,170,2008,True,0,2008-10-29,0.135184907951,-1.48391210034,0.0
